Frame_ID,Timestamp,Mano_ID,DX_SX,Hand_direction_X,Hand_direction_Y,Hand_direction_Z,Palm_position_X,Palm_position_Y,Palm_position_Z,Palm_normal_X,Palm_normal_Y,Palm_normal_Z,Tip_positon_Thumb X,Tip_positon_Thumb_Y,Tip_positon_Thumb_Z,Tip_positon_Index_X,Tip_positon_Index_Y,Tip_positon_Index_Z,Tip_positon_Middle_X,Tip_positon_Middle_Y,Tip_positon_Middle_Z,Tip_positon_Ring_X,Tip_positon_Ring_Y,Tip_positon_Ring_Z,Tip_positon_Pinky_X,Tip_positon_Pinky_Y,Tip_positon_Pinky_Z
11109,1291934948,275,1,-0.8987252712249756,-0.02230192720890045,-0.437944620847702,-9.916475296020508,226.32131958007812,-6.653421401977539,0.3326309025287628,-0.6854492425918579,-0.6477005481719971,-26.581073760986328,186.39779663085938,-28.860593795776367,-89.77098846435547,205.32810974121094,-14.0433349609375,-41.74326705932617,207.22418212890625,-26.662694931030273,-29.947498321533203,210.9375457763672,-28.64797592163086,-15.030350685119629,229.95013427734375,-29.802560806274414
11110,1291954538,275,1,-0.8930369019508362,-0.0257401280105114,-0.44924667477607727,-9.045299530029297,223.8503875732422,-8.705087661743164,0.33543580770492554,-0.7035608887672424,-0.6264861226081848,-29.446613311767578,180.76666259765625,-25.598928451538086,-87.23371887207031,201.09437561035156,-13.06882095336914,-31.77242660522461,195.0435791015625,-26.90629005432129,-26.035398483276367,206.79263305664062,-31.198963165283203,-19.336580276489258,230.41851806640625,-36.20878601074219
11111,1291978286,275,1,-0.8929722905158997,-0.018180780112743378,-0.4497442841529846,-8.968259811401367,221.73074340820312,-9.304224967956543,0.31399425864219666,-0.7410717606544495,-0.5934814810752869,-29.62972640991211,178.17613220214844,-24.839677810668945,-85.12669372558594,198.27796936035156,-12.770587921142578,-25.01590919494629,187.4459991455078,-27.302749633789062,-22.49382972717285,202.11935424804688,-31.8797607421875,-19.24887466430664,225.8343963623047,-37.186832427978516
11112,1292006770,275,1,-0.8911961913108826,-0.012984450906515121,-0.45343220233917236,-9.085341453552246,220.78199768066406,-9.9839448928833,0.2967052757740021,-0.7727957367897034,-0.561028242111206,-30.3433895111084,177.8542938232422,-24.33698272705078,-85.14163208007812,197.33094787597656,-12.00334644317627,-22.951519012451172,183.74330139160156,-27.735309600830078,-21.04694366455078,199.1000213623047,-32.25442123413086,-19.456195831298828,223.2510986328125,-37.86641311645508
11113,1292034653,275,1,-0.8903048634529114,-0.007586995605379343,-0.45530179142951965,-9.304614067077637,220.0809326171875,-10.4619722366333,0.2832683324813843,-0.7920814752578735,-0.5407087206840515,-30.56079864501953,177.51736450195312,-24.497297286987305,-84.67433166503906,196.29501342773438,-11.606596946716309,-22.455402374267578,181.3474578857422,-28.095640182495117,-20.6301326751709,197.1539306640625,-32.36708068847656,-19.681055068969727,220.44808959960938,-38.144718170166016
11114,1292061830,275,1,-0.8900691270828247,-0.001388746895827353,-0.45582348108291626,-9.713576316833496,219.79208374023438,-10.92946720123291,0.2732762396335602,-0.8019823431968689,-0.5311726927757263,-30.883214950561523,177.37295532226562,-24.781517028808594,-84.82210540771484,196.0265350341797,-11.115927696228027,-22.460859298706055,180.59194946289062,-28.325288772583008,-20.514137268066406,196.4805145263672,-32.426761627197266,-20.009532928466797,218.8912353515625,-38.209251403808594
11115,1292090461,275,1,-0.889515221118927,0.006066454108804464,-0.45686522126197815,-10.008955001831055,219.84677124023438,-11.25946044921875,0.2651655972003937,-0.807440459728241,-0.5269981622695923,-31.07003402709961,177.16085815429688,-24.90814971923828,-84.87875366210938,196.5238037109375,-10.802748680114746,-22.7300968170166,180.54324340820312,-28.38401985168457,-20.65148162841797,196.41726684570312,-32.68486404418945,-20.3145809173584,218.58236694335938,-38.370079040527344
11116,1292111798,275,1,-0.8888375759124756,0.014469392597675323,-0.45799389481544495,-10.10029411315918,220.12008666992188,-11.403557777404785,0.2568095922470093,-0.8120468854904175,-0.5240502953529358,-31.03799819946289,177.11349487304688,-24.906566619873047,-84.65904235839844,197.10739135742188,-10.556445121765137,-23.13204574584961,180.74810791015625,-28.44333267211914,-20.751340866088867,196.4833221435547,-32.81475830078125,-20.551416397094727,218.40118408203125,-38.4528923034668
11117,1292139867,275,1,-0.8884764313697815,0.021473098546266556,-0.4584195613861084,-10.185564041137695,220.4451904296875,-11.414915084838867,0.24905849993228912,-0.8164433836936951,-0.5209511518478394,-30.929683685302734,177.1968231201172,-24.84445571899414,-84.23246002197266,197.55979919433594,-10.44810676574707,-23.452653884887695,181.097900390625,-28.37224006652832,-20.881628036499023,196.6699981689453,-32.842933654785156,-20.657299041748047,218.19558715820312,-38.35328674316406
11118,1292158527,275,1,-0.8884508609771729,0.02677377499639988,-0.4581901431083679,-10.207265853881836,220.80303955078125,-11.344786643981934,0.24391117691993713,-0.8181174397468567,-0.520760178565979,-30.893442153930664,177.390625,-24.735427856445312,-83.9193115234375,197.95648193359375,-10.267291069030762,-23.713882446289062,181.5277557373047,-28.237197875976562,-21.101768493652344,196.99288940429688,-32.786293029785156,-20.79081916809082,218.30657958984375,-38.192970275878906
11119,1292187611,275,1,-0.8887073993682861,0.02889363281428814,-0.4575634300708771,-10.227611541748047,221.12925720214844,-11.164854049682617,0.24143987894058228,-0.8189194798469543,-0.5206512212753296,-30.803918838500977,177.71495056152344,-24.558122634887695,-83.67507934570312,198.29483032226562,-9.999471664428711,-23.904499053955078,181.92642211914062,-28.01295280456543,-21.28352928161621,197.32827758789062,-32.619407653808594,-20.883176803588867,218.50303649902344,-37.929840087890625
11120,1292212445,275,1,-0.8888261318206787,0.03092585690319538,-0.4571998417377472,-10.24622631072998,221.4501953125,-10.962249755859375,0.23957768082618713,-0.8191409707069397,-0.521162748336792,-30.7681941986084,178.1239776611328,-24.37870979309082,-83.43521881103516,198.68673706054688,-9.765498161315918,-24.06258201599121,182.3867645263672,-27.782081604003906,-21.457426071166992,197.7384033203125,-32.447479248046875,-20.92814064025879,218.74217224121094,-37.631343841552734
11121,1292240294,275,1,-0.8892533183097839,0.03248252347111702,-0.45626023411750793,-10.297929763793945,221.84754943847656,-10.651604652404785,0.23834547400474548,-0.8184539079666138,-0.5228046178817749,-30.80171775817871,178.79075622558594,-24.123884201049805,-83.28009033203125,199.12850952148438,-9.446730613708496,-24.306808471679688,182.9507293701172,-27.472366333007812,-21.786291122436523,198.28318786621094,-32.23898696899414,-21.008949279785156,219.08128356933594,-37.2130126953125
11122,1292263828,275,1,-0.8895313143730164,0.03344162553548813,-0.45564866065979004,-10.357044219970703,222.18223571777344,-10.32994270324707,0.23762169480323792,-0.8179481625556946,-0.5239244103431702,-30.860122680664062,179.349609375,-23.8236141204834,-83.17530059814453,199.5183563232422,-9.121026992797852,-24.520505905151367,183.37252807617188,-27.155797958374023,-22.079753875732422,198.70806884765625,-31.9686279296875,-21.136737823486328,219.39309692382812,-36.837581634521484
11123,1292292779,275,1,-0.890007734298706,0.033593885600566864,-0.45470619201660156,-10.448647499084473,222.4337615966797,-9.965505599975586,0.23793964087963104,-0.8164914846420288,-0.526047945022583,-30.950960159301758,179.844970703125,-23.480310440063477,-83.0980453491211,199.83847045898438,-8.762798309326172,-24.754497528076172,183.75738525390625,-26.762121200561523,-22.355504989624023,199.07460021972656,-31.76630973815918,-21.231658935546875,219.6160888671875,-36.403358459472656
11124,1292322207,275,1,-0.8902225494384766,0.03408384695649147,-0.45424893498420715,-10.443668365478516,222.7225799560547,-9.68441104888916,0.23793184757232666,-0.8155654668807983,-0.5274859070777893,-30.967531204223633,180.22000122070312,-23.169591903686523,-82.95899200439453,200.14613342285156,-8.501907348632812,-24.870807647705078,184.1033935546875,-26.48117446899414,-22.55788230895996,199.44863891601562,-31.55049705505371,-21.25997543334961,219.92788696289062,-36.04008102416992
11125,1292344193,275,1,-0.8901380300521851,0.03420456126332283,-0.4544055163860321,-10.290690422058105,222.90335083007812,-9.537003517150879,0.23853959143161774,-0.8146665692329407,-0.5285993814468384,-30.890445709228516,180.53126525878906,-22.969633102416992,-82.73604583740234,200.35687255859375,-8.409246444702148,-24.781904220581055,184.29718017578125,-26.33441925048828,-22.566137313842773,199.71665954589844,-31.40945816040039,-21.258554458618164,220.32496643066406,-35.87739181518555
