Frame_ID,Timestamp,Mano_ID,DX_SX,Hand_direction_X,Hand_direction_Y,Hand_direction_Z,Palm_position_X,Palm_position_Y,Palm_position_Z,Palm_normal_X,Palm_normal_Y,Palm_normal_Z,Tip_positon_Thumb X,Tip_positon_Thumb_Y,Tip_positon_Thumb_Z,Tip_positon_Index_X,Tip_positon_Index_Y,Tip_positon_Index_Z,Tip_positon_Middle_X,Tip_positon_Middle_Y,Tip_positon_Middle_Z,Tip_positon_Ring_X,Tip_positon_Ring_Y,Tip_positon_Ring_Z,Tip_positon_Pinky_X,Tip_positon_Pinky_Y,Tip_positon_Pinky_Z
18295,788799630213,339,1,-0.9066944122314453,-0.18730968236923218,-0.37791579961776733,-14.599031448364258,248.74151611328125,-51.85193634033203,-0.3922358751296997,0.044964198023080826,0.9187650680541992,-37.761592864990234,244.4666290283203,-29.539352416992188,-74.49603271484375,255.8561248779297,-55.13850784301758,-47.37397766113281,250.16122436523438,-40.40946960449219,-21.452232360839844,243.19223022460938,-31.27260971069336,-8.246729850769043,242.1048583984375,-28.274682998657227
18296,788799646066,339,1,-0.9078482985496521,-0.1907586306333542,-0.3733934462070465,-16.02117156982422,249.31756591796875,-52.16156005859375,-0.3886294662952423,0.04849538579583168,0.9201170206069946,-39.23918533325195,245.612548828125,-29.9893741607666,-75.72660064697266,256.00689697265625,-54.69000244140625,-45.376914978027344,250.4984130859375,-39.66933059692383,-22.212860107421875,243.82603454589844,-31.66400718688965,-9.051342010498047,243.36758422851562,-28.60512924194336
18297,788799663686,339,1,-0.9087971448898315,-0.19514591991901398,-0.3687896728515625,-17.057458877563477,249.66265869140625,-52.32167434692383,-0.3834460973739624,0.04217030107975006,0.9226000308990479,-40.24024963378906,245.90859985351562,-30.50648307800293,-76.82079315185547,255.76809692382812,-54.778751373291016,-42.40257263183594,250.49581909179688,-38.88376235961914,-21.81269645690918,244.14382934570312,-32.205963134765625,-9.258096694946289,243.9025115966797,-29.013233184814453
18298,788799682647,339,1,-0.9093341827392578,-0.20069898664951324,-0.3644603192806244,-17.504735946655273,250.12648010253906,-52.31491470336914,-0.3783726394176483,0.03457241132855415,0.9250075221061707,-40.68437957763672,246.46539306640625,-31.187942504882812,-77.56847381591797,255.65817260742188,-54.88896179199219,-40.671142578125,250.3098907470703,-38.43144989013672,-21.339412689208984,244.5421600341797,-32.6380729675293,-9.057138442993164,244.564208984375,-29.5565128326416
18299,788799703918,339,1,-0.910114049911499,-0.20424392819404602,-0.360522985458374,-17.75856590270996,250.55197143554688,-52.28598403930664,-0.3720615804195404,0.01985214091837406,0.9279957413673401,-40.96428298950195,246.8994598388672,-31.41932487487793,-78.36812591552734,255.5292510986328,-55.00944519042969,-39.83515930175781,250.10496520996094,-38.201541900634766,-21.174301147460938,244.71231079101562,-32.895477294921875,-8.998163223266602,244.99937438964844,-29.9416561126709
18300,788799728191,339,1,-0.9109306931495667,-0.20678630471229553,-0.3569939136505127,-17.770477294921875,250.83779907226562,-52.23017501831055,-0.36572760343551636,0.004323403351008892,0.9307119250297546,-40.98725128173828,247.0106658935547,-31.538270950317383,-78.88126373291016,255.486572265625,-55.19139099121094,-39.134559631347656,249.786865234375,-38.054569244384766,-20.980670928955078,244.6795654296875,-33.0185661315918,-8.93985366821289,245.09384155273438,-30.218505859375
18301,788799751304,339,1,-0.9108825922012329,-0.20918400585651398,-0.3557174801826477,-17.759138107299805,251.01255798339844,-52.17572021484375,-0.36277323961257935,-0.004955362528562546,0.9318642616271973,-40.983802795410156,247.18118286132812,-31.635112762451172,-79.15418243408203,255.38697814941406,-55.34814453125,-39.01558303833008,249.75144958496094,-37.997066497802734,-20.817989349365234,244.76669311523438,-33.04035186767578,-8.867201805114746,245.21263122558594,-30.335567474365234
18302,788799774099,339,1,-0.9110758900642395,-0.21009458601474762,-0.3546842932701111,-17.675294876098633,251.17108154296875,-52.123870849609375,-0.36070072650909424,-0.010288900695741177,0.932624876499176,-40.887393951416016,247.3543243408203,-31.674259185791016,-79.34917449951172,255.42005920410156,-55.458255767822266,-38.99067306518555,249.78213500976562,-37.98625564575195,-20.686723709106445,244.88955688476562,-33.01325607299805,-8.771761894226074,245.32742309570312,-30.384485244750977
18303,788799798895,339,1,-0.9112380743026733,-0.210541769862175,-0.35400182008743286,-17.574560165405273,251.3510284423828,-52.09335708618164,-0.3592628240585327,-0.014040075242519379,0.9331308007240295,-40.783058166503906,247.54971313476562,-31.716562271118164,-79.34013366699219,255.5372772216797,-55.48994827270508,-39.026283264160156,249.88523864746094,-38.01051712036133,-20.5679988861084,245.04063415527344,-32.995418548583984,-8.682948112487793,245.4650115966797,-30.42719078063965
18304,788799820061,339,1,-0.9113592505455017,-0.2109135538339615,-0.35346823930740356,-17.496519088745117,251.4751739501953,-52.0775032043457,-0.3582391142845154,-0.016464723274111748,0.933484673500061,-40.70273971557617,247.68128967285156,-31.745954513549805,-79.32830047607422,255.6143035888672,-55.50455093383789,-39.07760238647461,249.94805908203125,-38.06606674194336,-20.480039596557617,245.1372528076172,-32.984004974365234,-8.61132526397705,245.57781982421875,-30.442829132080078
18305,788799837564,339,1,-0.911526083946228,-0.21110349893569946,-0.35292428731918335,-17.439960479736328,251.54176330566406,-52.06875228881836,-0.35718560218811035,-0.01890803687274456,0.9338420033454895,-40.636810302734375,247.7167205810547,-31.760805130004883,-79.3216781616211,255.61279296875,-55.5317497253418,-39.11802291870117,249.95912170410156,-38.10734176635742,-20.423892974853516,245.17056274414062,-32.9769401550293,-8.579276084899902,245.61048889160156,-30.467878341674805
18306,788799862511,339,1,-0.9116159081459045,-0.2111024707555771,-0.35269269347190857,-17.412031173706055,251.58798217773438,-52.07910919189453,-0.35638999938964844,-0.021578337997198105,0.9340881109237671,-40.59126281738281,247.68736267089844,-31.811424255371094,-79.33840942382812,255.57684326171875,-55.576446533203125,-39.26487350463867,249.9573974609375,-38.2202262878418,-20.40174102783203,245.16793823242188,-32.987979888916016,-8.586172103881836,245.603515625,-30.508060455322266
18307,788799884889,339,1,-0.9117151498794556,-0.2111363559961319,-0.35241585969924927,-17.42385482788086,251.67445373535156,-52.1130485534668,-0.3557489216327667,-0.0232902392745018,0.9342913031578064,-40.583221435546875,247.68359375,-31.867839813232422,-79.3581314086914,255.65182495117188,-55.63890838623047,-39.58705139160156,250.01126098632812,-38.376346588134766,-20.446741104125977,245.21693420410156,-33.02301788330078,-8.627253532409668,245.6475067138672,-30.557477951049805
18308,788799906697,339,1,-0.9118446707725525,-0.2111017107963562,-0.3521013855934143,-17.440921783447266,251.68478393554688,-52.15591812133789,-0.35506144165992737,-0.025015246123075485,0.934508204460144,-40.571659088134766,247.60153198242188,-31.91439437866211,-79.41293334960938,255.65191650390625,-55.70856857299805,-39.69277572631836,249.9955291748047,-38.477176666259766,-20.484106063842773,245.1884002685547,-33.05949401855469,-8.663857460021973,245.61277770996094,-30.60515785217285
18309,788799931431,339,1,-0.9118648767471313,-0.21117690205574036,-0.3520039916038513,-17.44867515563965,251.658935546875,-52.18852996826172,-0.3546723425388336,-0.02640414796769619,0.9346177577972412,-40.553802490234375,247.5081024169922,-31.947710037231445,-79.4442138671875,255.5945281982422,-55.75237274169922,-39.79061508178711,249.94598388671875,-38.54589080810547,-20.51615333557129,245.14222717285156,-33.0804328918457,-8.705633163452148,245.5581512451172,-30.64548683166504
18310,788799955665,339,1,-0.9118300676345825,-0.2113344669342041,-0.3519994616508484,-17.44204330444336,251.6148681640625,-52.214447021484375,-0.3544560968875885,-0.02744263969361782,0.9346698522567749,-40.530738830566406,247.41519165039062,-31.967119216918945,-79.47232055664062,255.5168914794922,-55.79290008544922,-39.86884307861328,249.88150024414062,-38.596370697021484,-20.538009643554688,245.08749389648438,-33.09260559082031,-8.728757858276367,245.50225830078125,-30.674287796020508
18311,788799981134,339,1,-0.911794900894165,-0.21140654385089874,-0.3520473837852478,-17.431522369384766,251.60264587402344,-52.24893569946289,-0.35429635643959045,-0.028444088995456696,0.9347004890441895,-40.50495147705078,247.35545349121094,-31.983644485473633,-79.49315643310547,255.4707794189453,-55.8527717590332,-39.959171295166016,249.85658264160156,-38.65995788574219,-20.554277420043945,245.0692596435547,-33.111656188964844,-8.740209579467773,245.47389221191406,-30.708520889282227
18312,788800006294,339,1,-0.911777138710022,-0.21160563826560974,-0.35197365283966064,-17.451690673828125,251.56460571289062,-52.289955139160156,-0.35402563214302063,-0.029408734291791916,0.9347732067108154,-40.51274108886719,247.2648468017578,-32.00526428222656,-79.5417709350586,255.39669799804688,-55.915008544921875,-40.13393783569336,249.80679321289062,-38.74871826171875,-20.606935501098633,245.02438354492188,-33.144100189208984,-8.77364730834961,245.4204864501953,-30.75059700012207
18313,788800029520,339,1,-0.9117497205734253,-0.2116898000240326,-0.35199421644210815,-17.499475479125977,251.51634216308594,-52.33448028564453,-0.3538456857204437,-0.030370909720659256,0.9348105788230896,-40.55008316040039,247.15484619140625,-32.029239654541016,-79.61018371582031,255.32981872558594,-55.965274810791016,-40.27431106567383,249.74978637695312,-38.8137092590332,-20.69487762451172,244.95692443847656,-33.18333435058594,-8.834830284118652,245.34896850585938,-30.79263687133789
18314,788800052514,339,1,-0.9117612242698669,-0.21174049377441406,-0.35193386673927307,-17.55721092224121,251.47543334960938,-52.37834548950195,-0.35360631346702576,-0.03121308609843254,0.9348734021186829,-40.60102081298828,247.0703887939453,-32.05229187011719,-79.69222259521484,255.2822265625,-56.01862335205078,-40.425716400146484,249.70181274414062,-38.884315490722656,-20.790088653564453,244.9029541015625,-33.22383117675781,-8.908711433410645,245.29534912109375,-30.83781623840332
18315,788800074660,339,1,-0.9117764830589294,-0.21169158816337585,-0.35192379355430603,-17.603384017944336,251.4182586669922,-52.41513442993164,-0.35343292355537415,-0.031964000314474106,0.9349136352539062,-40.64175796508789,246.9921875,-32.07775115966797,-79.75198364257812,255.21975708007812,-56.05807876586914,-40.55604553222656,249.64013671875,-38.946964263916016,-20.865991592407227,244.83628845214844,-33.25659942626953,-8.973001480102539,245.2324676513672,-30.87489891052246
18316,788800098942,339,1,-0.9117704629898071,-0.21167457103729248,-0.3519496023654938,-17.656917572021484,251.35169982910156,-52.450321197509766,-0.35338255763053894,-0.032318901270627975,0.9349204301834106,-40.69214630126953,246.91616821289062,-32.10993957519531,-79.8162612915039,255.14205932617188,-56.08711624145508,-40.694461822509766,249.578369140625,-39.00844192504883,-20.950563430786133,244.76654052734375,-33.28599166870117,-9.053773880004883,245.1707763671875,-30.910707473754883
18317,788800119996,339,1,-0.911822497844696,-0.21166561543941498,-0.35182011127471924,-17.699262619018555,251.25762939453125,-52.48604965209961,-0.3532063066959381,-0.032519854605197906,0.9349800944328308,-40.73149490356445,246.82725524902344,-32.148681640625,-79.86505889892578,255.05419921875,-56.125370025634766,-40.791297912597656,249.4888153076172,-39.082603454589844,-21.00531005859375,244.6715545654297,-33.32075881958008,-9.110892295837402,245.087890625,-30.95015525817871
18318,788800143272,339,1,-0.9118063449859619,-0.21177761256694794,-0.35179460048675537,-17.716846466064453,251.12200927734375,-52.52792739868164,-0.3531670868396759,-0.03260558843612671,0.9349918961524963,-40.74911117553711,246.7102508544922,-32.203285217285156,-79.8995132446289,254.9137725830078,-56.17421340942383,-40.8360595703125,249.35452270507812,-39.14548873901367,-21.030147552490234,244.5426788330078,-33.35688400268555,-9.132978439331055,244.97410583496094,-30.99174690246582
18319,788800166108,339,1,-0.9118047952651978,-0.21185044944286346,-0.3517548143863678,-17.74537467956543,250.960205078125,-52.55721664428711,-0.35306403040885925,-0.03291166573762894,0.9350200891494751,-40.78264236450195,246.5583953857422,-32.26300048828125,-79.9305191040039,254.7379150390625,-56.212711334228516,-40.87790298461914,249.17787170410156,-39.18693923950195,-21.066572189331055,244.38108825683594,-33.384910583496094,-9.174221992492676,244.8206024169922,-31.029909133911133
18320,788800190703,339,1,-0.9117978811264038,-0.2119566798210144,-0.35170868039131165,-17.764253616333008,250.80577087402344,-52.577049255371094,-0.35296058654785156,-0.03319628909230232,0.9350491166114807,-40.80479049682617,246.40492248535156,-32.30974197387695,-79.95690155029297,254.5762939453125,-56.23942947387695,-40.93634796142578,249.00473022460938,-39.22896957397461,-21.098039627075195,244.2225799560547,-33.40457534790039,-9.205740928649902,244.67279052734375,-31.059040069580078
18321,788800214851,339,1,-0.9117699265480042,-0.21210575103759766,-0.35169121623039246,-17.773406982421875,250.6747589111328,-52.59109878540039,-0.3529648780822754,-0.0331253819167614,0.9350500106811523,-40.81822204589844,246.28475952148438,-32.35353469848633,-79.96701049804688,254.445068359375,-56.25664138793945,-40.9682731628418,248.87249755859375,-39.258949279785156,-21.113037109375,244.09349060058594,-33.417625427246094,-9.225101470947266,244.5553741455078,-31.078536987304688
